projectid,gender,purchasing_reason,decide_purchase_reason,not_book_reason,other_projects_before_deicde,condo_payment,day_off_activity,most_interested_activites_participation,room_size_wanted,purchase_budget,residences_count,would_recommend,information_source,saw_sign,car_type,decision_time_frame,family_monthly_income,individual_monthly_income_baht,exercise_preference,condo_living_style,car_brand,purchase_intent,travel_route_today,marital_status,occupation,age,Project Brand,Project Type,Starting Price,Location,hour_sin,hour_cos,day,month,quarter,year,week,day_of_week,is_weekend,day_of_year,season,has_booked_prediction
6,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,unknown,unknown,unknown,unknown,unknown,30-34 ตร.ม.,1.01 - 1.5M,Missing,Missing,เพื่อน/ญาติแนะนำ,unknown,Missing,4 - 6 เดือน,Missing,"15,001 - 20,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,unknown,25-35 ปี,ATMOZ,LOW RISE,2990000,ลาดพร้าว,-0.7071067811865471,-0.7071067811865479,9.0,12.0,4.0,2019.0,50,0.0,0,343.0,1.0,0.0
6,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,unknown,unknown,Missing,Missing,Missing,"40,001 - 50,000",unknown,unknown,unknown,unknown,unknown,unknown,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,ATMOZ,LOW RISE,2990000,ลาดพร้าว,-0.9659258262890684,-0.2588190451025206,16.0,7.0,3.0,2019.0,29,1.0,0,197.0,3.0,0.0
7,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,Facebook Assetwise,unknown,Missing,Missing,"35,001 - 50,000",Missing,unknown,unknown,unknown,unknown,unknown,unknown,รับราชการ ประเภท,45 ปีขึ้นไป,MODIZ,HIGH RISE,2000000,รัชดา,0.9659258262890684,0.2588190451025207,6.0,3.0,1.0,2019.0,10,2.0,0,65.0,2.0,1.0
7,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,3.01 - 3.5M,Missing,Missing,Facebook Assetwise,unknown,Missing,Missing,"20,001 - 35,000",Missing,unknown,unknown,unknown,unknown,unknown,unknown,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,2000000,รัชดา,1.0,6.123233995736766e-17,12.0,5.0,2.0,2019.0,19,6.0,1,132.0,2.0,1.0
8,ชาย,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,unknown,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้าย.......,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",1 - 3 เดือน,"80,001 - 100,000","40,001 - 50,000",unknown,unknown,โตโยต้า (Toyota),unknown,unknown,โสด,ธุรกิจส่วนตัว ประเภท,25-35 ปี,BROWN,LOW RISE,2000000,รัชดา,-0.8660254037844385,-0.5000000000000004,16.0,10.0,4.0,2019.0,42,2.0,0,289.0,4.0,0.0
8,หญิง,unknown,unknown,unknown,ไม่ได้เปรียบเทียบ,สิทธิ์สวัสดิการ,unknown,unknown,23-25 ตร.ม.,2.01 - 2.5M,มากกว่า 2 หลัง,Missing,unknown,unknown,Missing,ภายใน 1 เดือน,Missing,"100,001 - 120,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,45 ปีขึ้นไป,BROWN,LOW RISE,2000000,รัชดา,-0.9659258262890684,-0.2588190451025206,1.0,12.0,4.0,2019.0,48,6.0,1,335.0,1.0,1.0
9,unknown,สภาพแวดล้อมที่ดีขึ้น,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,Facebook Assetwise,unknown,Missing,Missing,"35,001 - 50,000","50,001 - 65,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,2000000,ลาดพร้าว,0.8660254037844386,0.5000000000000001,10.0,6.0,2.0,2018.0,23,6.0,1,161.0,3.0,1.0
9,หญิง,unknown,unknown,อยู่ระหว่างการตัดสินใจ,อื่นๆ โปรดระบุ,unknown,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,unknown,ป้ายบิลบอร์ดปากซอยลาดพร้าว 15,ไม่มีรถ,ภายใน 1 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ไม่มีรถ,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,2000000,ลาดพร้าว,-1.0,-1.8369701987210294e-16,23.0,5.0,2.0,2021.0,20,6.0,1,143.0,2.0,0.0
10,unknown,สภาพแวดล้อมที่ดีขึ้น,unknown,unknown,unknown,unknown,unknown,unknown,Missing,3.01 - 3.5M,Missing,Missing,unknown,Other,Missing,Missing,Missing,"40,001 - 50,000",unknown,unknown,unknown,unknown,unknown,สมรส มีบุตร (คน),unknown,45 ปีขึ้นไป,WYNN,LOW RISE,1490000,ลาดพร้าว,1.0,6.123233995736766e-17,29.0,7.0,3.0,2018.0,30,6.0,1,210.0,3.0,1.0
10,หญิง,unknown,unknown,unknown,ไม่ได้เปรียบเทียบ,unknown,unknown,unknown,23-25 ตร.ม.,1.01 - 1.5M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,Missing,1 - 3 เดือน,"80,001 - 100,000","80,001 - 100,000",unknown,unknown,unknown,unknown,unknown,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,36-45 ปี,WYNN,LOW RISE,1490000,ลาดพร้าว,-0.7071067811865471,-0.7071067811865479,5.0,12.0,4.0,2019.0,49,3.0,0,339.0,1.0,0.0
